Time,State,Interpreted
04:22:30,1,Asleep
04:23:30,1,Asleep
04:24:30,1,Asleep
04:25:30,1,Asleep
04:26:30,1,Asleep
04:27:30,1,Asleep
04:28:30,1,Asleep
04:29:30,1,Asleep
04:30:30,1,Asleep
04:31:30,1,Asleep
04:32:30,1,Asleep
04:33:30,1,Asleep
04:34:30,1,Asleep
04:35:30,1,Asleep
04:36:30,1,Asleep
04:37:30,1,Asleep
04:38:30,1,Asleep
04:39:30,1,Asleep
04:40:30,1,Asleep
04:41:30,1,Asleep
04:42:30,1,Asleep
04:43:30,1,Asleep
04:44:30,1,Asleep
04:45:30,1,Asleep
04:46:30,1,Asleep
04:47:30,1,Asleep
04:48:30,1,Asleep
04:49:30,1,Asleep
04:50:30,1,Asleep
04:51:30,1,Asleep
04:52:30,1,Asleep
04:53:30,1,Asleep
04:54:30,1,Asleep
04:55:30,1,Asleep
04:56:30,1,Asleep
04:57:30,1,Asleep
04:58:30,1,Asleep
04:59:30,1,Asleep
05:00:30,1,Asleep
05:01:30,1,Asleep
05:02:30,1,Asleep
05:03:30,1,Asleep
05:04:30,1,Asleep
05:05:30,1,Asleep
05:06:30,1,Asleep
05:07:30,1,Asleep
05:08:30,1,Asleep
05:09:30,1,Asleep
05:10:30,1,Asleep
05:11:30,1,Asleep
05:12:30,1,Asleep
05:13:30,1,Asleep
05:14:30,1,Asleep
05:15:30,1,Asleep
05:16:30,1,Asleep
05:17:30,1,Asleep
05:18:30,1,Asleep
05:19:30,1,Asleep
05:20:30,1,Asleep
05:21:30,1,Asleep
05:22:30,1,Asleep
05:23:30,1,Asleep
05:24:30,1,Asleep
05:25:30,1,Asleep
05:26:30,1,Asleep
05:27:30,1,Asleep
05:28:30,1,Asleep
05:29:30,1,Asleep
05:30:30,1,Asleep
05:31:30,1,Asleep
05:32:30,1,Asleep
05:33:30,1,Asleep
05:34:30,2,Awake
05:35:30,1,Asleep
05:36:30,1,Asleep
05:37:30,1,Asleep
05:38:30,2,Awake
05:39:30,1,Asleep
05:40:30,2,Awake
05:41:30,1,Asleep
05:42:30,1,Asleep
05:43:30,1,Asleep
05:44:30,1,Asleep
05:45:30,1,Asleep
05:46:30,1,Asleep
05:47:30,1,Asleep
05:48:30,1,Asleep
05:49:30,1,Asleep
05:50:30,1,Asleep
05:51:30,2,Awake
05:52:30,2,Awake
05:53:30,1,Asleep
05:54:30,1,Asleep
05:55:30,1,Asleep
05:56:30,2,Awake
05:57:30,2,Awake
05:58:30,1,Asleep
05:59:30,2,Awake
06:00:30,3,Very Awake
06:01:30,2,Awake
06:02:30,3,Very Awake
06:03:30,3,Very Awake
06:04:30,3,Very Awake
06:05:30,3,Very Awake
